檔案名,max累計水平距離,max累計爬升高度,max累計下降高度,max累計花費時間
HB桃山 (20).csv,5346.653207952105,2393.768781882296,1066.7038627329287,0 days 07:19:05
HB桃山 (21).csv,12034.490360178186,1745.2407184879828,1691.2524478305113,0 days 11:32:26
HB桃山 (22).csv,12819.093930625238,1873.8070742214177,1857.0263541227825,0 days 09:51:21
HB桃山 (23).csv,9872.532911223909,1516.4187806749057,1516.910699878662,0 days 08:26:57
HB桃山 (24).csv,21918.072767510395,1598.8369428939513,1518.036573865807,0 days 11:55:47
HB桃山 (25).csv,11092.120240713308,1596.91097475394,1609.3822599679781,0 days 10:20:54
HB桃山 (26).csv,10937.171124315422,1528.8685056518882,1527.735139900089,0 days 11:03:53
HB桃山 (27).csv,10388.28212054079,1703.4168562882924,1693.4512446656236,0 days 11:49:24
HB桃山 (28).csv,10142.996678822554,1685.690084077417,1775.1005542064077,0 days 12:14:32
HB桃山 (29).csv,10565.09092744023,1800.2122510650631,1813.3119231300195,0 days 11:38:58
HB桃山 (3).csv,10827.092409878114,1700.7246254507177,1690.452090120804,0 days 10:28:35
HB桃山 (30).csv,12319.317909890398,1749.7649409400115,1661.131418095968,0 days 09:13:33
HB桃山 (31).csv,12609.886359051294,1993.1725550101205,2006.6144682023041,0 days 09:55:03
HB桃山 (32).csv,16352.91501319277,2532.799150579373,2475.2216890177324,0 days 10:57:52
HB桃山 (33).csv,12907.368313786747,1650.6190254939688,1648.233550261703,0 days 11:19:12
HB桃山 (35).csv,13411.082041239839,1849.228392916729,2095.7363042924526,0 days 12:53:17
HB桃山 (36).csv,6440.521325591509,1405.2792879647598,1314.341453684602,0 days 06:00:47
HB桃山 (37).csv,26265.153153492414,1612.8521581050268,1606.4360467195768,0 days 10:27:25
HB桃山 (38).csv,10135.59194248026,1761.1563253217105,1667.9412840778216,0 days 13:17:18
HB桃山 (39).csv,10740.761886402874,1772.5049948118883,1781.1131903017083,0 days 10:43:58
HB桃山 (4).csv,7496.554876058174,1583.8625883813913,212.13838598969983,0 days 05:54:20
HB桃山 (40).csv,11026.029737541372,1709.4451164161894,1700.6834987499922,0 days 09:25:30
HB桃山 (41).csv,11985.970318185384,1569.4151054155807,1561.3990178627619,0 days 09:18:14
HB桃山 (42).csv,10844.70142193426,1816.2169393718784,1819.6647358944558,0 days 08:17:57
HB桃山 (43).csv,13447.334167048411,2718.3162376884366,2700.6887737247325,0 days 11:39:48
HB桃山 (44).csv,11399.88186030674,1622.753057572485,1622.1269558221097,0 days 10:21:12
HB桃山 (45).csv,12424.743174534984,2396.3154761218266,2380.2716103103994,0 days 10:13:45
HB桃山 (46).csv,11218.698649202568,1657.9577658485941,1676.029116133263,0 days 12:17:50
HB桃山 (47).csv,5762.72469567024,1864.9945937515938,418.3515228442616,0 days 06:24:42
HB桃山 (48).csv,11328.943456810033,1602.0367066659207,1515.4329595841796,0 days 09:15:46
HB桃山 (49).csv,12372.978131886348,1574.8946095016697,1566.5560071924945,0 days 11:18:47
HB桃山 (5).csv,11030.292737964157,1588.358313316333,1601.056243016877,0 days 09:12:12
HB桃山 (50).csv,8531.871545512133,1501.0405029232113,1587.9902119575288,0 days 11:21:14
